Class,Label,Count
Packing,Longe,66
Packing,Queue,30
Packing,Anneaux,4
Packing,Coq.,2
Packing,Nx.,7
Packing,Filet,215
Packing,Saumonette,2
Packing,Pinc,9
Packing,Œufs ,2
Packing,Noix,22
Packing,Dos,102
Packing,Tête,1
Packing,Flt.,59
Packing,Petit,5
Packing,Pinces,6
Packing,Aile,41
Packing,Miette,8
Packing,Joue,13
Packing,Foie,8
Packing,Tranche,13
Packing,Tran.,4
Packing,Coquille,4
Packing,Ann.,1
Packing,Blanc,16
Packing,FLT.,73
Packing,Pavé,5
Packing,Darne,11
Zone,"Pacifique, centre-ouest ",1
Zone,"Océan Indien, est ",8
Zone,"Pacifique, nord-ouest",9
Zone,Méditérranée ,92
Zone,"Pacifique, sud-est ",11
Zone,"Atlantique, centre-est ",17
Zone,"Océan Indien, ouest ",15
Zone,"Pacifique, nord-est ",17
Zone,"Atlantique, centre-ouest",2
Zone,"Atlantique, sud-est ",2
Zone,Océanie ,1
Zone,"Atlantique, nord-ouest ",2
Zone,"Pacifique, sud-ouest ",1
Zone,Atlantique Nord Est,886
Peche,Elevé(es),55
Peche,Pêché(es),2179
Fish,Grondin rouge,23
Fish,Saumonette,5
Fish,Raie lisse,7
Fish,Salicorne,8
Fish,Pétoncle noir,3
Fish,Anchois,10
Fish,Saint-Jacques,26
Fish,Morue,37
Fish,Flétan,1
Fish,Grenadier de roche,3
Fish,Sole-pôle,1
Fish,Hirondelle,2
Fish,Amande,7
Fish,Pagre commun,3
Fish,Langoustines,63
Fish,Beryx,1
Fish,Hareng,17
Fish,Alose d’été,1
Fish,Joël,2
Fish,Limande commune,2
Fish,Congre commun,12
Fish,Crabe royal,2
Fish,Mostelle,4
Fish,Crevettes rose tigrée,4
Fish,Bonite à dos rayé,3
Fish,Pouce-pied,6
Fish,Kippers,1
Fish,Lingue bleue,23
Fish,Mulet,29
Fish,Pageot acarné,4
Fish,Flet commun,2
Fish,Dorade-marbré,2
Fish,Sprat,4
Fish,Sardine,40
Fish,Daurade,2
Fish,Maquereau,46
Fish,Homard européen,13
Fish,Chinchard,4
Fish,Clam,6
Fish,Lançon commun,5
Fish,Lançon équille,2
Fish,Crevettes bouquet,7
Fish,Amande de mer,1
Fish,Grondin perlon,13
Fish,Coque,10
Fish,Émissole tachetée,1
